Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Return,Log_Return
2025-03-31,AAPL,217.00999450683594,225.6199951171875,216.22999572753906,222.1300048828125,221.58761596679688,65299300,,
2025-04-01,AAPL,219.80999755859375,223.67999267578125,218.89999389648438,223.19000244140625,222.64501953125,36412700,0.004771943413171442,0.004760593783407753
2025-04-02,AAPL,221.32000732421875,225.19000244140625,221.02000427246094,223.88999938964844,223.3433074951172,35905900,0.0031363286964034565,0.0031314206769879702
2025-04-03,AAPL,205.5399932861328,207.49000549316406,201.25,203.19000244140625,202.69386291503906,103419000,-0.09245607048480542,-0.09701330683544312
2025-04-04,AAPL,193.88999938964844,199.8800048828125,187.33999633789062,188.3800048828125,187.92002868652344,125910900,-0.07288742745362853,-0.07568028330661472
2025-04-07,AAPL,177.1999969482422,194.14999389648438,174.6199951171875,181.4600067138672,181.0169219970703,160466300,-0.0367342786061855,-0.03742597441122445
2025-04-08,AAPL,186.6999969482422,190.33999633789062,169.2100067138672,172.4199981689453,171.99899291992188,120859500,-0.049818154997102404,-0.051101896912692076
2025-04-09,AAPL,171.9499969482422,200.61000061035156,171.88999938964844,198.85000610351562,198.3644561767578,184395900,0.15328847459654016,0.1426174047866074
2025-04-10,AAPL,189.07000732421875,194.77999877929688,183.0,190.4199981689453,189.95504760742188,121880000,-0.042393726837042345,-0.043318573837778165
2025-04-11,AAPL,186.10000610351562,199.5399932861328,186.05999755859375,198.14999389648438,197.66615295410156,87435900,0.04059436926686022,0.039792058814702345
2025-04-14,AAPL,211.44000244140625,212.94000244140625,201.16000366210938,202.52000427246094,202.02549743652344,101352900,0.02205407661995684,0.021814402925682496
2025-04-15,AAPL,201.86000061035156,203.50999450683594,199.8000030517578,202.13999938964844,201.64642333984375,51343900,-0.001876367594633943,-0.0018781301774897104
2025-04-16,AAPL,198.36000061035156,200.6999969482422,192.3699951171875,194.27000427246094,193.79563903808594,59732400,-0.038933417075920684,-0.03971158737127687
2025-04-17,AAPL,197.1999969482422,198.8300018310547,194.4199981689453,196.97999572753906,196.4990234375,52164700,0.013949665806890499,0.013853264693225658
2025-04-21,AAPL,193.27000427246094,193.8000030517578,189.80999755859375,193.16000366210938,192.68833923339844,46742500,-0.019392891310289984,-0.01958340046463345
2025-04-22,AAPL,196.1199951171875,201.58999633789062,195.97000122070312,199.74000549316406,199.25228881835938,52976400,0.034065110587777614,0.033497743724408724
2025-04-23,AAPL,206.0,208.0,202.8000030517578,204.60000610351562,204.10043334960938,52929200,0.02433168803229968,0.02404038826251418
2025-04-24,AAPL,204.88999938964844,208.8300018310547,202.94000244140625,208.3699951171875,207.8612060546875,47311000,0.018426088780694405,0.018258385353102605
2025-04-25,AAPL,206.3699951171875,209.75,206.1999969482422,209.27999877929688,208.76898193359375,38222300,0.004367221263343435,0.004357712626723434
2025-04-28,AAPL,210.0,211.5,207.4600067138672,210.13999938964844,209.62689208984375,38743100,0.004109375580146679,0.004100955156889321
2025-04-29,AAPL,208.69000244140625,212.24000549316406,208.3699951171875,211.2100067138672,210.69427490234375,36827600,0.005091821959763321,0.0050789024715922745
2025-04-30,AAPL,209.3000030517578,213.5800018310547,206.6699981689453,212.5,211.9811248779297,52286500,0.006107664653832723,0.006089088469766681
2025-05-01,AAPL,209.0800018310547,214.55999755859375,208.89999389648438,213.32000732421875,212.79913330078125,57365700,0.0038588738658813515,0.0038514475109053766
2025-05-02,AAPL,206.08999633789062,206.99000549316406,202.16000366210938,205.35000610351562,204.8485870361328,101010600,-0.037361741757710676,-0.038077578209088574
2025-05-05,AAPL,203.10000610351562,204.10000610351562,198.2100067138672,198.88999938964844,198.40435791015625,69018500,-0.03145849927117084,-0.031963946532927834
2025-05-06,AAPL,198.2100067138672,200.64999389648438,197.02000427246094,198.50999450683594,198.0252685546875,51216500,-0.0019106906696092496,-0.001912518367508
2025-05-07,AAPL,199.1699981689453,199.44000244140625,193.25,196.25,195.7707977294922,68536700,-0.011384763377168206,-0.01145006590472915
